[19-Jun-2023 11:25:27] | 500 | 145.6933ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:25:28] | 500 | 20.7696ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:25:51] | 500 | 142.8535ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:25:57] | 500 | 135.8148ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:26:35] | 500 | 136.0317ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:26:36] | 500 | 119.411ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:27:37] | 500 | 145.4409ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:28:38] | 500 | 143.2454ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:28:40] | 500 | 15.4207ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:28:40] | 500 | 15.3065ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:29:24] | 500 | 140.2221ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:30:03] | 500 | 137.4414ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: insert or update on table "product_qualities" violates foreign key constraint "product_qualities_product_code_fkey" (SQLSTATE 23503)
[19-Jun-2023 11:30:32] | 500 | 140.9997ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:30:33] | 500 | 119.4334ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:30:34] | 500 | 16.1805ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:30:50] | 500 | 136.9984ms | 127.0.0.1 | PATCH | /api/products/2 | ERROR: null value in column "product_code" of relation "product_qualities" violates not-null constraint (SQLSTATE 23502)
[19-Jun-2023 11:33:06] | 200 | 144.697ms | 127.0.0.1 | PATCH | /api/products/2 | -
[19-Jun-2023 11:33:21] | 200 | 110.8958ms | 127.0.0.1 | DELETE | /api/products/2 | -
[19-Jun-2023 11:33:24] | 201 | 122.6547ms | 127.0.0.1 | POST | /api/products | -
[19-Jun-2023 11:33:57] | 404 | 102.5523ms | 127.0.0.1 | PATCH | /api/products/2 | record not found
[19-Jun-2023 11:34:01] | 200 | 127.1447ms | 127.0.0.1 | PATCH | /api/products/3 | -
[19-Jun-2023 11:34:26] | 200 | 133.9537ms | 127.0.0.1 | PATCH | /api/products/3 | -
[20-Jun-2023 11:22:28] | 200 | 118.6427ms | 127.0.0.1 | GET | /api/products/Y3B8CPY6S4 | -
[20-Jun-2023 11:22:36] | 200 | 105.534ms | 127.0.0.1 | GET | /api/products | -
[20-Jun-2023 11:23:20] | 200 | 121.2492ms | 127.0.0.1 | GET | /api/products/Y3B8CPY6S4 | -
[20-Jun-2023 11:27:20] | 200 | 122.0349ms | 127.0.0.1 | DELETE | /api/products/Y3B8CPY6S4 | -
[20-Jun-2023 11:27:26] | 201 | 114.2123ms | 127.0.0.1 | POST | /api/products | -
[20-Jun-2023 11:27:31] | 200 | 104.2312ms | 127.0.0.1 | GET | /api/products | -
[20-Jun-2023 11:27:39] | 404 | 108.1809ms | 127.0.0.1 | GET | /api/products/Y3B8CPY6S4 | record not found
[20-Jun-2023 11:27:43] | 200 | 103.9724ms | 127.0.0.1 | GET | /api/products/Z1YA9T9NF0 | -
[20-Jun-2023 11:28:25] | 200 | 123.3945ms | 127.0.0.1 | GET | /api/products/Z1YA9T9NF0 | -
[20-Jun-2023 11:28:27] | 404 | 106.3896ms | 127.0.0.1 | PATCH | /api/products/Y3B8CPY6S4 | record not found
[20-Jun-2023 11:28:32] | 200 | 133.0113ms | 127.0.0.1 | PATCH | /api/products/Z1YA9T9NF0 | -
[20-Jun-2023 11:28:57] | 200 | 130.3114ms | 127.0.0.1 | PATCH | /api/products/Z1YA9T9NF0 | -
[20-Jun-2023 11:29:59] | 400 | 992.5µs | 127.0.0.1 | POST | /api/products | -
[20-Jun-2023 11:30:03] | 400 | 1.0008ms | 127.0.0.1 | POST | /api/products | -
[20-Jun-2023 11:37:13] | 400 |      0s | 127.0.0.1 | POST | /api/products | -
[20-Jun-2023 11:37:35] | 400 | 507.5µs | 127.0.0.1 | POST | /api/products | Key: 'CreateProductRequest.UnitMassDescription' Error:Field validation for 'UnitMassDescription' failed on the 'required' tag
[20-Jun-2023 11:40:22] | 400 | 505.9µs | 127.0.0.1 | POST | /api/products | Key: 'CreateProductRequest.UnitMassDescription' Error:Field validation for 'UnitMassDescription' failed on the 'required' tag
[20-Jun-2023 11:40:24] | 400 | 341.6µs | 127.0.0.1 | POST | /api/products | Key: 'CreateProductRequest.UnitMassDescription' Error:Field validation for 'UnitMassDescription' failed on the 'required' tag
[20-Jun-2023 11:43:26] | 400 | 505.2µs | 127.0.0.1 | POST | /api/products | -
[20-Jun-2023 11:44:09] | 200 | 117.9381ms | 127.0.0.1 | GET | /api/products | -
[20-Jun-2023 11:44:12] | 200 | 110.0517ms | 127.0.0.1 | GET | /api/products/Z1YA9T9NF0 | -
[20-Jun-2023 11:44:32] | 200 | 107.5767ms | 127.0.0.1 | GET | /api/products/Z1YA9T9NF0 | -
[20-Jun-2023 11:47:17] | 200 | 131.8061ms | 127.0.0.1 | DELETE | /api/products/Z1YA9T9NF0 | -
[20-Jun-2023 11:47:23] | 201 | 124.4736ms | 127.0.0.1 | POST | /api/products | -
[20-Jun-2023 13:21:36] | 200 | 120.0216ms | 127.0.0.1 | GET | /api/product-qualities | -
[20-Jun-2023 13:22:08] | 404 | 117.9316ms | 127.0.0.1 | PATCH | /api/products/Z1YA9T9NF0 | record not found
[20-Jun-2023 13:22:14] | 200 | 133.1882ms | 127.0.0.1 | PATCH | /api/products/Q8Y7RSZLBU | -
[20-Jun-2023 13:22:21] | 201 | 120.7279ms | 127.0.0.1 | POST | /api/products | -
[20-Jun-2023 13:22:24] | 400 | 104.7849ms | 127.0.0.1 | GET | /api/product-qualities/Z1YA9T9NF0 | record not found
[20-Jun-2023 13:22:26] | 200 | 116.9371ms | 127.0.0.1 | GET | /api/product-qualities | -
[20-Jun-2023 13:22:41] | 200 | 102.8931ms | 127.0.0.1 | GET | /api/product-qualities | -
[20-Jun-2023 13:23:09] | 200 | 124.9371ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBU | -
[20-Jun-2023 13:23:32] | 200 | 108.2023ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBU | -
[20-Jun-2023 13:23:34] | 200 | 108.1298ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBU | -
[20-Jun-2023 13:32:00] | 200 | 122.3879ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBU | -
[20-Jun-2023 13:32:02] | 200 | 118.2697ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBU | -
[20-Jun-2023 13:32:04] | 200 | 114.8266ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBU | -
[20-Jun-2023 13:32:06] | 200 | 105.4491ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBU | -
[20-Jun-2023 13:32:10] | 400 | 105.5808ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBU2 | record not found
[20-Jun-2023 13:32:13] | 200 | 108.2746ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBU | -
[20-Jun-2023 13:32:16] | 400 | 109.1075ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBUs | record not found
[20-Jun-2023 13:32:52] | 200 | 124.0498ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBU | -
[20-Jun-2023 13:32:54] | 404 | 106.4478ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBUs | record not found
[20-Jun-2023 13:32:57] | 200 | 108.6203ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBU | -
[20-Jun-2023 13:33:04] | 404 | 103.8784ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBUg | record not found
[20-Jun-2023 13:33:09] | 200 | 111.5033ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBU | -
[20-Jun-2023 13:33:13] | 404 | 106.8671ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBUs | record not found
[20-Jun-2023 13:33:14] | 404 | 1.9404ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBUs | record not found
[20-Jun-2023 13:33:14] | 404 | 1.8642ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBUs | record not found
[20-Jun-2023 13:33:16] | 200 | 114.9074ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBU | -
[20-Jun-2023 13:37:38] | 200 | 128.6075ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBU | -
[20-Jun-2023 13:38:58] | 400 |   617µs | 127.0.0.1 | DELETE | /api/product-qualities/Z1YA9T9NF0 | failed to convert: strconv.Atoi: parsing "Z1YA9T9NF0": invalid syntax
[20-Jun-2023 13:39:40] | 500 | 120.4141ms | 127.0.0.1 | DELETE | /api/product-qualities/473 | record not found
[20-Jun-2023 13:40:07] | 404 | 119.2053ms | 127.0.0.1 | DELETE | /api/product-qualities/473 | record not found
[20-Jun-2023 13:40:13] | 200 | 114.7573ms | 127.0.0.1 | DELETE | /api/product-qualities/47 | -
[20-Jun-2023 13:40:23] | 200 | 111.0711ms | 127.0.0.1 | GET | /api/product-qualities | -
[20-Jun-2023 13:40:27] | 200 | 121.2218ms | 127.0.0.1 | GET | /api/product-qualities/Q8Y7RSZLBU | -
[20-Jun-2023 13:40:30] | 200 | 108.7768ms | 127.0.0.1 | GET | /api/product-qualities/YCXM532UFH | -
[20-Jun-2023 14:16:42] | 200 | 120.8255ms | 127.0.0.1 | GET | /api/products | -
[20-Jun-2023 14:16:48] | 200 | 114.7733ms | 127.0.0.1 | GET | /api/products/Q8Y7RSZLBU | -
[20-Jun-2023 14:46:39] | 500 | 503.2µs | 127.0.0.1 | GET | /api/suppliers | invalid field found for struct inventory-management/backend/internal/model.Transaction's field Supplier: define a valid foreign key for relations or implement the Valuer/Scanner interface
[20-Jun-2023 14:46:46] | 500 | 978.9µs | 127.0.0.1 | GET | /api/suppliers/Q8Y7RSZLBU | invalid field found for struct inventory-management/backend/internal/model.Transaction's field Supplier: define a valid foreign key for relations or implement the Valuer/Scanner interface
[20-Jun-2023 14:47:14] | 500 | 509.2µs | 127.0.0.1 | GET | /api/suppliers | invalid field found for struct inventory-management/backend/internal/model.Transaction's field Supplier: define a valid foreign key for relations or implement the Valuer/Scanner interface
[20-Jun-2023 14:47:34] | 500 | 1.0353ms | 127.0.0.1 | GET | /api/suppliers | invalid field found for struct inventory-management/backend/internal/model.Customer's field Transactions: define a valid foreign key for relations or implement the Valuer/Scanner interface
[20-Jun-2023 14:47:35] | 500 |  77.8µs | 127.0.0.1 | GET | /api/suppliers | invalid field found for struct inventory-management/backend/internal/model.Customer's field Transactions: define a valid foreign key for relations or implement the Valuer/Scanner interface
[20-Jun-2023 14:48:05] | 500 | 1.0273ms | 127.0.0.1 | GET | /api/suppliers | invalid field found for struct inventory-management/backend/internal/model.Transaction's field Supplier: define a valid foreign key for relations or implement the Valuer/Scanner interface
[20-Jun-2023 14:48:47] | 200 | 122.6578ms | 127.0.0.1 | GET | /api/suppliers | -
[20-Jun-2023 14:49:06] | 200 | 115.65ms | 127.0.0.1 | GET | /api/products | -
